               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.057037,            0.049664,            0.013115,             0.34154,              0.4412,             0.38134,             0.14078,            0.056506,            0.031493,            0.010231,            0.006073,            0.006073,            0.006073
                 121,            0.055785,            0.051286,            0.013084,             0.45221,             0.37359,             0.36893,             0.15327,            0.054134,            0.029101,            0.011591,             0.00604,             0.00604,             0.00604
                 122,            0.056593,            0.044144,             0.01176,             0.58533,             0.30718,             0.31653,             0.13137,            0.059111,            0.029011,            0.011432,            0.006007,            0.006007,            0.006007
                 123,            0.058986,            0.052117,            0.011583,             0.50507,             0.31373,             0.34636,             0.14031,            0.060207,            0.027947,            0.011115,            0.005974,            0.005974,            0.005974
                 124,            0.059873,            0.044983,            0.010286,             0.36844,             0.42359,             0.40712,             0.17471,            0.052546,            0.027631,            0.011255,            0.005941,            0.005941,            0.005941
                 125,            0.055792,             0.04878,            0.010879,             0.53421,             0.29965,             0.31688,             0.10807,            0.063799,            0.028618,            0.010971,            0.005908,            0.005908,            0.005908
                 126,            0.056279,            0.045872,            0.010344,             0.86603,             0.31746,             0.38659,              0.1652,            0.052897,            0.029681,            0.011609,            0.005875,            0.005875,            0.005875
                 127,            0.057157,            0.046622,            0.012215,             0.56589,             0.37003,             0.41075,             0.18079,            0.054755,            0.028186,            0.010608,            0.005842,            0.005842,            0.005842
                 128,             0.05958,            0.054564,            0.010318,             0.64227,             0.35599,             0.38721,             0.16605,            0.054698,            0.029649,            0.010593,            0.005809,            0.005809,            0.005809
                 129,            0.056253,            0.047328,            0.010613,             0.57231,             0.44418,             0.44548,             0.17405,            0.051965,            0.029049,            0.010617,            0.005776,            0.005776,            0.005776
                 130,            0.054411,            0.047058,            0.011662,             0.42501,             0.39824,             0.38508,             0.15733,            0.053948,            0.028772,             0.01087,            0.005743,            0.005743,            0.005743
                 131,            0.055853,            0.043475,            0.011902,             0.62471,             0.33838,             0.39146,             0.16599,            0.055957,            0.026632,            0.010608,             0.00571,             0.00571,             0.00571
                 132,            0.056713,            0.049825,            0.011204,             0.44468,             0.45859,             0.43629,             0.18546,             0.05155,            0.026967,            0.010712,            0.005677,            0.005677,            0.005677
                 133,            0.054296,            0.044901,            0.010967,             0.46658,             0.44859,             0.34417,             0.12425,            0.058848,            0.028443,            0.010324,            0.005644,            0.005644,            0.005644
                 134,            0.053932,            0.043581,            0.010787,             0.48902,             0.45981,             0.42592,             0.17073,            0.054045,            0.029585,            0.010529,            0.005611,            0.005611,            0.005611
                 135,            0.059093,            0.042512,           0.0092033,             0.39782,             0.46121,             0.46669,             0.17638,            0.052653,            0.029926,           0.0098251,            0.005578,            0.005578,            0.005578
                 136,            0.055944,            0.050718,           0.0095955,             0.38362,             0.48112,             0.44116,             0.18496,            0.051662,            0.028566,           0.0094208,            0.005545,            0.005545,            0.005545
                 137,            0.058179,            0.046027,            0.009839,             0.36901,              0.3424,             0.37532,             0.13537,            0.059683,            0.028456,           0.0095871,            0.005512,            0.005512,            0.005512
                 138,            0.054392,            0.047845,             0.01062,             0.50157,              0.4588,             0.46739,             0.19841,            0.051215,            0.027779,           0.0093521,            0.005479,            0.005479,            0.005479
                 139,            0.053554,            0.044557,           0.0092537,             0.58503,             0.42324,             0.47344,             0.21195,            0.050634,             0.02689,           0.0098053,            0.005446,            0.005446,            0.005446
                 140,            0.054942,            0.041095,           0.0090977,             0.46202,             0.47324,             0.42702,             0.19393,            0.051862,            0.028798,            0.010416,            0.005413,            0.005413,            0.005413
                 141,            0.056698,            0.043685,            0.010671,             0.47187,             0.42711,             0.41951,             0.16812,            0.056386,            0.028566,            0.010287,             0.00538,             0.00538,             0.00538
                 142,            0.055985,            0.044808,           0.0088968,             0.61612,             0.42488,             0.44328,             0.16637,            0.054228,            0.027657,            0.010562,            0.005347,            0.005347,            0.005347
                 143,            0.057009,            0.044958,            0.008576,             0.86347,             0.30634,             0.38863,             0.15626,            0.055936,            0.029765,            0.011923,            0.005314,            0.005314,            0.005314
                 144,            0.055691,            0.055057,            0.010037,             0.76533,             0.32391,               0.369,             0.15247,            0.052729,            0.031054,            0.010626,            0.005281,            0.005281,            0.005281
                 145,            0.053894,               0.049,            0.010258,             0.47305,             0.45749,             0.44546,             0.18626,            0.050229,            0.028218,           0.0092636,            0.005248,            0.005248,            0.005248
                 146,            0.055093,            0.049741,           0.0091629,             0.59042,             0.40951,             0.45691,             0.19498,            0.051318,            0.028244,           0.0089523,            0.005215,            0.005215,            0.005215
                 147,            0.056368,            0.047775,           0.0089503,             0.43432,             0.49018,             0.44618,             0.20419,             0.05085,            0.026322,           0.0089111,            0.005182,            0.005182,            0.005182
                 148,            0.057203,            0.046915,           0.0089069,             0.41437,             0.43415,             0.43102,             0.16729,            0.055518,            0.027231,           0.0085815,            0.005149,            0.005149,            0.005149
                 149,            0.055412,            0.041894,           0.0089764,             0.54949,             0.46268,             0.49523,             0.21034,            0.052057,            0.026316,           0.0084885,            0.005116,            0.005116,            0.005116
                 150,            0.055034,            0.046461,           0.0088994,             0.59414,             0.42845,             0.46561,             0.19465,            0.053493,            0.027167,           0.0096313,            0.005083,            0.005083,            0.005083
                 151,            0.053243,            0.041573,           0.0078437,             0.47875,             0.48415,             0.45461,             0.17815,            0.054948,            0.028231,           0.0087219,             0.00505,             0.00505,             0.00505
                 152,            0.055439,            0.048067,           0.0087517,             0.46837,             0.54472,             0.49269,             0.21831,            0.049289,            0.027244,           0.0090439,            0.005017,            0.005017,            0.005017
                 153,            0.053442,            0.045837,           0.0074923,             0.52247,             0.44155,             0.43867,             0.18446,            0.055707,            0.026761,           0.0087204,            0.004984,            0.004984,            0.004984
                 154,            0.055933,            0.053634,           0.0093855,             0.37266,             0.44472,              0.4622,             0.22089,            0.050946,            0.027296,           0.0093658,            0.004951,            0.004951,            0.004951
                 155,             0.05564,            0.046733,           0.0086363,             0.50806,              0.4374,             0.45061,             0.17829,            0.056633,             0.02678,           0.0088379,            0.004918,            0.004918,            0.004918
                 156,             0.05623,            0.049038,           0.0088977,             0.64691,             0.43013,             0.51298,             0.23804,            0.050139,            0.026851,           0.0089722,            0.004885,            0.004885,            0.004885
                 157,            0.054308,            0.042923,           0.0084192,             0.47806,             0.46266,             0.43428,             0.19792,            0.053767,            0.028921,           0.0091583,            0.004852,            0.004852,            0.004852
                 158,            0.052839,            0.043994,           0.0089354,             0.61943,             0.41978,             0.43009,             0.18754,            0.053472,            0.027979,            0.010889,            0.004819,            0.004819,            0.004819
                 159,            0.054244,            0.042468,           0.0075072,             0.51426,             0.36303,             0.37742,             0.16927,            0.054239,            0.029507,            0.010425,            0.004786,            0.004786,            0.004786
                 160,             0.05565,            0.044993,           0.0081258,             0.54652,             0.36555,             0.35708,             0.13111,            0.059844,             0.02932,            0.010257,            0.004753,            0.004753,            0.004753
